date,close,volume
2021-04-27 09:05:41,16.4800,66000
2021-04-28 09:04:59,16.4100,11500
2021-04-29 07:34:40,16.3900,61500
2021-04-30 06:34:32,16.4400,4500
2021-05-04 08:03:23,16.4800,3500
2021-05-05 07:35:08,16.4400,19500
2021-05-06 08:02:11,16.8000,29500
2021-05-17 10:34:38,16.8000,23000
2021-05-18 10:35:29,16.8000,7000
2021-05-19 10:35:18,16.4800,90500
2021-05-20 10:36:20,16.5500,106500
2021-05-21 11:35:18,16.7200,8000
2021-05-24 10:36:32,16.8000,3000
2021-05-25 10:37:36,16.9400,3500
2021-05-26 10:38:02,16.6600,30500
2021-05-27 10:36:55,17.0000,21000
2021-05-28 11:35:47,17.1200,5500
2021-05-31 10:36:59,16.9800,54500
2021-06-01 10:39:04,17.0000,1000
2021-06-02 10:37:56,16.9700,11500
2021-06-03 10:38:50,17.0000,46500
2021-06-04 11:36:24,17.2300,4500
2021-06-07 10:38:16,17.2800,22000
2021-06-08 10:38:54,17.0700,6500
2021-06-09 10:38:22,17.1600,1500
2021-06-10 10:37:35,17.0200,51500
2021-06-11 11:37:02,17.1400,6000
2021-06-14 10:40:27,17.2000,17500
2021-06-15 10:39:16,17.0500,26000
2021-06-16 10:39:18,17.1800,7000
2021-06-17 11:12:10,17.3900,74500
2021-06-18 11:36:12,17.5500,14000
2021-06-21 10:37:44,17.3700,14500
2021-06-22 10:37:29,17.3500,1000
2021-06-23 10:36:49,17.6400,20500
2021-06-24 10:37:04,17.5000,4500
2021-06-25 11:35:11,17.2500,8000
2021-06-28 10:37:13,17.2800,2000
2021-06-29 10:36:00,17.2500,2000
2021-06-30 10:37:59,17.5000,7000
2021-07-01 10:38:39,17.3000,8000
2021-07-02 11:36:41,17.3000,1000
2021-07-05 10:36:31,17.5000,2000
2021-07-06 10:36:20,17.4700,8000
2021-07-07 10:37:07,17.2700,18000
2021-07-08 10:36:35,17.8900,9500
2021-07-09 11:35:28,17.7000,4500
2021-07-12 10:36:54,17.4200,10500
2021-07-13 10:37:11,17.5000,1500
