date,close,volume
2021-05-05 07:31:55,5.8600,53000
2021-05-06 07:32:04,5.5200,1500
2021-05-17 10:31:44,6.0000,13000
2021-05-18 10:31:57,5.9400,21500
2021-05-19 10:31:45,6.1400,12000
2021-05-20 10:31:57,6.6300,92000
2021-05-21 11:31:52,6.7500,19500
2021-05-24 10:32:04,6.9800,30500
2021-05-25 10:32:14,6.9800,13500
2021-05-26 10:23:39,7.1600,22500
2021-05-27 10:31:59,6.9000,52500
2021-05-28 11:31:50,7.2300,29000
2021-05-31 10:32:11,7.9600,86000
2021-06-01 10:32:55,7.9700,46500
2021-06-02 10:32:19,7.7900,29500
2021-06-03 10:32:43,7.7000,11500
2021-06-04 12:02:25,7.6800,6000
2021-06-07 10:32:32,7.4000,130000
2021-06-08 10:32:42,7.3200,3000
2021-06-09 10:32:51,7.2500,7500
2021-06-10 10:32:16,7.5000,27000
2021-06-11 12:00:28,7.2600,140000
2021-06-14 11:00:25,7.2300,24500
2021-06-15 10:33:00,7.0000,189500
2021-06-16 11:08:29,7.5000,262000
2021-06-17 10:32:47,7.4600,86000
2021-06-18 11:32:00,7.2500,3000
2021-06-21 10:32:11,7.0800,63500
2021-06-22 10:32:05,7.4900,9500
2021-06-23 10:32:02,7.0000,11000
2021-06-24 10:32:06,7.2300,11500
2021-06-25 11:31:45,7.1000,1000
2021-06-28 10:33:12,6.9900,17500
2021-06-29 10:32:02,6.9000,500
2021-06-30 10:32:28,7.0000,11000
2021-07-01 10:32:38,7.2500,36000
2021-07-02 11:32:12,7.3500,17000
2021-07-05 10:31:58,7.0700,12500
2021-07-06 11:00:17,8.0700,119500
2021-07-07 11:09:24,8.7100,419000
2021-07-08 11:11:21,8.1800,182500
2021-07-09 11:31:50,8.1000,76500
2021-07-12 11:00:30,8.0100,8500
2021-07-13 10:32:25,7.8000,24500
2021-07-14 10:31:58,7.5100,9500
2021-07-15 10:31:59,7.5100,2500
2021-07-16 11:31:43,7.9000,26000
2021-07-19 11:07:33,7.5000,35500
2021-07-26 10:31:48,7.8000,36000
2021-07-27 10:31:58,8.0200,33500
2021-07-28 10:31:40,8.0700,21500
2021-07-29 10:31:45,7.8000,31500
2021-07-30 11:31:39,8.1900,1000
2021-08-02 10:31:38,7.9800,8500
2021-08-03 10:31:48,7.6100,36000
2021-08-04 11:12:26,7.8500,3000
2021-08-05 11:00:59,7.8000,18500
2021-08-06 11:44:05,7.5500,3500
2021-08-09 10:31:57,7.1600,17500
2021-08-12 10:31:54,7.5000,16500
2021-08-17 10:31:40,7.1500,500
2021-08-23 10:31:49,7.3000,2500
2021-08-24 10:31:41,7.5000,2000
2021-08-25 10:31:43,7.6800,500
2021-08-26 10:31:57,7.4800,6500
2021-08-27 11:31:36,7.2300,1500
2021-08-31 10:32:02,7.4000,1000
2021-09-02 10:32:11,7.6900,3000
2021-09-03 11:31:38,7.6500,12000
2021-09-06 10:32:10,8.3100,212500
2021-09-07 10:31:52,7.5800,16000
2021-09-08 11:03:42,8.5000,284000
2021-09-09 10:32:07,8.2200,19000
2021-09-10 11:31:40,8.0000,6500
2021-09-13 10:32:06,8.0000,12500
2021-09-14 10:32:10,7.8600,1000
2021-09-15 10:31:54,7.2600,6000
2021-09-16 11:02:27,7.9000,8000
2021-09-17 11:31:34,7.9800,6000
2021-09-22 10:31:41,7.3900,88500
2021-09-23 10:31:55,7.5000,56000
2021-09-24 11:31:42,8.1900,500
2021-09-27 10:31:37,7.6100,7000
2021-09-29 11:05:53,7.6100,500
2021-09-30 11:00:08,8.5800,371500
2021-10-01 11:31:49,7.9300,10000
2021-10-04 11:13:50,7.2500,17000
2021-10-05 10:32:38,8.1800,96500
2021-10-06 10:34:34,7.7000,22000
2021-10-07 10:34:36,7.8000,11000
2021-10-08 11:33:57,7.4100,9000
2021-10-11 10:34:10,7.6300,19500
2021-10-12 10:33:56,7.6100,3000
2021-10-13 10:31:36,7.6000,21500
2021-10-15 11:31:43,7.7500,8000
2021-10-18 10:31:57,7.6500,7000
2021-10-21 10:31:40,7.5000,15000
2021-10-25 13:00:00,8.5000,168000
2021-10-26 11:05:01,8.1100,18000
2021-10-27 11:05:01,9.0100,33000
2021-10-28 11:05:01,8.6000,13000
2021-10-29 13:00:00,8.8500,1500
2021-11-01 10:31:55,8.1900,12000
2021-11-02 10:31:48,8.6900,83000
2021-11-03 11:10:24,8.3100,500
2021-11-04 10:32:02,8.9000,500
2021-11-05 12:07:15,9.6900,4000
2021-11-08 10:31:53,8.7500,82500
2021-11-09 11:05:43,8.7500,2000
2021-11-11 11:05:53,8.0000,28500
2021-11-15 10:31:40,8.0000,4000
2021-11-16 11:03:05,8.0000,76000
2021-11-18 10:31:47,8.0000,4500
2021-11-19 11:31:51,8.1600,7000
2021-11-22 10:31:48,8.1000,3000
2021-11-23 11:01:33,7.3700,102000
2021-11-24 11:02:18,7.6000,11500
2021-11-25 10:31:56,7.7000,35500
2021-11-26 12:28:58,7.4200,30500
2021-11-29 11:06:42,8.0700,124500
2021-11-30 11:29:39,7.9500,500
2021-12-01 11:02:08,8.3900,20000
2021-12-02 11:10:02,7.5600,17000
2021-12-03 11:31:27,7.8000,500
2021-12-06 10:31:44,7.8000,500
2021-12-07 10:31:54,8.1300,2500
2021-12-09 10:31:51,7.8000,500
2021-12-10 11:31:36,7.6100,2000
2021-12-13 10:31:37,7.6500,38500
2021-12-14 10:31:44,7.9000,3000
2021-12-15 11:00:01,8.0000,4000
2021-12-16 11:04:13,7.7600,4500
2021-12-17 12:01:03,8.2800,500
2021-12-21 10:31:51,8.0000,26500
2021-12-23 10:32:03,8.0000,2000
2021-12-27 11:01:13,7.4800,3000
2021-12-28 10:31:51,7.8000,2000
2021-12-29 11:01:02,7.5400,49500
2021-12-30 11:02:00,7.9500,1500
2021-12-31 11:31:45,7.5300,1000
2022-01-03 11:05:18,8.2500,36000
2022-01-04 11:14:54,8.1900,6500
2022-01-05 10:32:07,8.2400,9500
2022-01-07 12:15:00,8.2100,13000
2022-01-10 11:14:55,8.2700,3500
2022-01-11 10:32:00,8.1900,1000
2022-01-12 11:00:55,8.0500,7500
2022-01-13 11:04:15,8.5900,4500
2022-01-21 12:02:49,8.6900,4000
2022-01-25 11:03:17,8.0000,2000
2022-01-27 11:00:42,7.9500,500
2022-01-31 11:07:25,7.9000,4000
2022-02-02 11:15:07,8.0000,53000
2022-02-03 10:31:49,7.8000,500
2022-02-04 11:31:37,8.0000,16000
2022-02-07 10:31:51,8.1900,3000
2022-02-08 11:06:49,8.0100,4500
2022-02-09 11:08:51,8.1500,8500
2022-02-10 10:31:56,8.0200,9000
2022-02-11 11:31:53,8.2500,1500
2022-02-14 10:31:44,8.0500,58500
2022-02-15 10:31:49,8.0000,2500
2022-02-17 10:31:54,8.0100,3000
2022-02-21 10:31:44,7.8100,10000
2022-02-22 10:31:40,7.6000,5000
2022-02-23 11:10:08,7.6000,1500
2022-02-24 10:31:32,8.0700,4500
2022-02-25 11:31:34,8.0000,1500
2022-02-28 10:31:34,8.0000,18000
2022-03-01 10:31:43,8.1100,10000
2022-03-04 11:31:30,8.0000,10000
2022-03-09 10:31:37,7.7500,1000
2022-03-10 11:00:59,8.0100,53500
2022-03-11 11:31:30,8.0000,16000
2022-03-16 10:31:45,7.7800,2000
2022-03-17 10:31:42,7.3300,15500
2022-03-18 11:31:30,7.3000,50000
2022-03-29 11:14:17,7.2800,2000
2022-03-30 10:31:37,7.4700,1000
2022-04-01 11:31:41,7.5800,500
2022-04-04 09:01:35,7.5800,500
2022-04-06 09:01:41,7.6000,500
2022-04-08 08:01:39,7.3000,500
2022-04-11 09:01:50,7.8500,2500
2022-04-12 09:02:08,7.7000,2500
2022-04-13 09:02:00,8.0100,64500
2022-04-14 09:01:51,8.0000,50000
2022-04-15 08:01:44,8.1000,35000
2022-04-18 08:31:49,8.0000,4000
2022-04-19 08:31:42,8.0600,252000
2022-04-20 08:31:49,8.0000,72000
2022-04-21 08:31:52,8.0000,1000
2022-04-22 07:31:48,8.0000,50000
2022-04-25 08:31:48,8.0500,21000
2022-04-26 08:31:43,8.0000,20000
2022-04-27 08:31:37,8.0000,78000
2022-05-06 11:31:34,8.0000,1000
2022-05-10 10:31:43,8.0000,11000
2022-05-11 10:31:36,8.0000,17500
2022-05-13 11:31:36,7.9900,43500
2022-05-16 10:31:31,8.0000,137500
2022-05-17 10:31:56,8.0000,62500
2022-05-18 10:31:43,8.0100,71000
2022-05-19 10:31:44,8.0000,43000
2022-05-20 11:31:33,8.0000,1500
2022-05-23 10:31:46,8.0000,1000
2022-05-25 10:31:35,8.0000,35000
2022-06-02 10:31:43,8.4900,3000
2022-06-06 10:31:47,8.0000,35000
2022-06-09 10:31:49,8.0000,500
2022-06-15 10:31:44,7.7500,500
2022-06-17 11:31:44,8.0000,1000
2022-06-22 10:31:47,8.0000,3000
2022-06-23 10:31:50,8.0000,352000
2022-06-27 10:31:46,7.7500,32000
2022-07-04 10:31:39,8.0000,33500
2022-07-05 10:31:40,8.0000,6000
2022-07-13 11:02:14,7.6100,500
2022-07-20 10:31:35,7.7500,3000
2022-07-21 10:31:38,7.7000,500
2022-07-22 12:03:04,8.6100,13500
2022-07-25 11:13:20,9.6100,61500
2022-07-26 10:31:44,10.2500,10000
2022-08-04 10:31:46,9.2500,500
2022-08-05 11:31:50,8.9900,22000
2022-08-10 10:31:52,8.9900,2000
2022-08-11 10:32:10,8.9900,1000
2022-08-12 13:00:00,9.0000,3000
2022-08-15 13:00:00,8.8000,1000
2022-08-16 13:00:00,8.8000,500
2022-08-29 13:00:00,9.3500,27500
2022-08-30 13:00:00,8.3500,89000
2022-08-31 13:00:00,7.9000,3500
2022-09-05 13:00:00,7.9800,45000
2022-09-06 13:00:00,7.6000,500
2022-09-07 13:00:00,7.6000,7000
2022-09-08 13:00:00,7.6500,9000
2022-09-13 13:00:00,6.7500,500
2022-09-14 13:00:00,7.5000,4000
2022-09-15 13:00:00,7.1600,46500
2022-09-16 13:00:00,7.5100,1000
2022-09-22 13:00:00,7.5500,1000
2022-10-06 13:00:00,8.5000,2000
2022-10-13 13:00:00,8.5000,6000
2022-10-17 13:00:00,8.0000,3500
2022-10-20 13:00:00,8.6000,11500
2022-10-21 13:00:00,8.9000,500
2022-10-24 13:00:00,8.9800,8000
2022-10-25 13:00:00,9.2700,11000
2022-11-10 13:00:00,8.8000,1000
2022-11-14 13:00:00,8.8000,3000
2022-11-16 13:00:00,8.0000,27000
2022-11-17 13:00:00,8.6000,500
2022-11-18 13:00:00,9.0000,3500
2022-11-22 13:00:00,8.0100,59000
2022-11-24 13:00:00,8.0000,5000
2022-11-25 13:00:00,8.8000,1000
2022-11-28 13:00:00,7.8100,1000
2022-11-30 13:00:00,8.6300,500
2022-12-01 13:00:00,7.6300,4500
2022-12-02 13:00:00,8.0000,1000
2022-12-06 13:00:00,8.8600,20500
2022-12-08 13:00:00,8.8500,8000
2022-12-15 13:00:00,8.0000,9000
2022-12-16 13:00:00,7.9000,1500
2022-12-19 13:00:00,8.8400,500
2022-12-22 13:00:00,9.3600,500
2023-01-16 13:00:00,8.3600,1000
2023-01-17 13:00:00,7.5000,22000
2023-01-19 13:00:00,8.5000,500
2023-01-20 13:00:00,9.0000,9000
2023-01-23 13:00:00,9.0000,6000
2023-01-24 13:00:00,8.0000,2500
2023-01-25 13:00:00,7.7000,11500
2023-01-26 13:00:00,7.7000,2000
2023-01-27 13:00:00,7.9000,1500
2023-01-31 13:00:00,7.6400,0
2023-02-02 13:00:00,7.6400,1000
2023-02-07 13:00:00,6.6800,28500
2023-02-08 13:00:00,7.0000,2000
2023-02-16 13:00:00,6.9000,3000
2023-02-21 13:00:00,6.3000,500
2023-02-22 13:00:00,6.6000,500
2023-02-23 13:00:00,6.1000,500
2023-02-24 13:00:00,5.9000,21000
2023-02-27 13:00:00,5.9000,500
2023-02-28 13:00:00,6.0000,2000
2023-03-01 13:00:00,5.5000,500
2023-03-02 13:00:00,5.5000,2500
2023-03-03 13:00:00,6.0000,6500
2023-03-07 13:00:00,5.9900,1000
2023-03-13 13:00:00,5.9900,1000
2023-03-14 13:00:00,5.8000,1500
2023-03-15 13:00:00,5.9900,500
2023-03-16 13:00:00,6.3000,3000
2023-03-20 13:00:00,5.3100,36000
2023-03-22 13:00:00,5.3800,2000
2023-04-04 13:00:00,5.0500,500
2023-04-05 13:00:00,5.5100,1000
2023-04-18 13:00:00,5.0000,3000
2023-04-26 13:00:00,5.4000,1500
2023-04-27 13:00:00,5.5000,10000
2023-04-28 13:00:00,5.4000,13500
2023-05-02 13:00:00,5.5500,1000
2023-05-03 13:00:00,5.3600,500
2023-05-04 13:00:00,5.0500,1000
2023-05-05 13:00:00,5.4400,500
2023-05-08 13:00:00,5.3000,3000
2023-05-15 13:00:00,5.6500,42500
2023-05-16 13:00:00,5.7200,3500
