date,open,high,low,close,volume
2025-12-22,1.6500,3.3000,1.5800,2.4300,795409
2025-12-23,2.4300,2.5900,2.0700,2.3400,306048
2025-12-24,2.2500,3.3400,1.8000,3.3400,1064602
2025-12-26,4.2500,4.3400,4.0000,4.3400,784066
2025-12-29,4.8500,5.3400,3.3400,3.6700,1051194
2025-12-30,3.4200,3.8300,2.9900,3.2100,733665
2025-12-31,3.0000,3.4700,2.7000,2.8600,253196
2026-01-01,2.8700,3.1100,2.5500,2.6400,204483
2026-01-02,2.6400,2.7700,2.2500,2.4700,198132
