date,close,volume
2021-10-25 18:00:00,3.4000,0
2021-10-29 18:00:00,3.4000,0
2024-08-30 16:00:00,3.8500,2789137
2024-09-02 16:00:00,4.8400,2185872
2024-09-03 16:00:00,5.8500,735719
2024-09-04 16:00:00,6.8500,2086503
2024-09-05 16:00:00,7.8500,5383096
2024-09-06 16:00:00,7.3800,1509482
2024-09-09 16:00:00,7.2000,503770
2024-09-10 16:00:00,7.5300,492081
2024-09-11 16:00:00,7.6200,2516691
2024-09-12 16:00:00,7.0400,461798
2024-09-13 16:00:00,7.8400,1307991
2024-09-16 16:00:00,7.6000,313547
2024-09-18 16:00:00,7.6200,163296
2024-09-19 16:00:00,7.0300,245111
2024-09-20 16:00:00,6.6500,63570
2024-09-23 16:00:00,6.3700,106753
2024-09-24 16:00:00,6.1100,151905
2024-09-25 16:00:00,6.2800,193503
2024-09-26 16:00:00,6.1000,215640
2024-09-27 16:00:00,5.9600,44911
2024-09-30 16:00:00,6.0000,65908
2024-10-01 16:00:00,5.7400,13377
2024-10-02 16:00:00,5.9100,36754
2024-10-03 16:00:00,5.5400,66577
2024-10-04 16:00:00,5.3300,12740
2024-10-07 16:00:00,5.2200,101359
2024-10-08 16:00:00,4.9300,45334
2024-10-09 16:00:00,5.0900,152400
2024-10-10 16:00:00,5.1400,248197
2024-10-11 16:00:00,5.0900,82447
2024-10-14 16:00:00,4.8800,143861
2024-10-15 16:00:00,5.0900,2551
2024-10-16 16:00:00,5.0500,91918
2024-10-17 16:00:00,4.6900,71721
2024-10-18 16:00:00,4.6700,18639
2024-10-21 16:00:00,4.5900,11801
2024-10-22 16:00:00,4.5100,79932
2024-10-23 16:00:00,4.5100,90366
2024-10-24 16:00:00,4.6800,122189
2024-10-25 16:00:00,4.5100,1804
2024-10-28 16:00:00,4.5900,39019
2024-10-29 16:00:00,4.6300,60338
2024-10-30 16:00:00,4.6600,58934
2024-10-31 16:00:00,4.5900,16605
2024-11-01 16:00:00,4.8800,35475
2024-11-04 16:00:00,5.1900,57398
2024-11-05 16:00:00,6.0100,105276
2024-11-06 16:00:00,6.4400,267487
2024-11-07 16:00:00,6.5600,53088
2024-11-08 16:00:00,6.7000,4748
2024-11-11 16:00:00,6.2200,40520
2024-11-12 16:00:00,6.0100,25699
2024-11-13 16:00:00,6.0400,23315
2024-11-14 16:00:00,6.0000,13048
2024-11-15 16:00:00,5.5100,43646
2024-11-18 16:00:00,5.5000,7779
2024-11-19 16:00:00,5.3800,7539
2024-11-20 16:00:00,5.4400,25040
2024-11-21 16:00:00,5.4100,11093
2024-11-22 16:00:00,5.2400,4547
2024-11-25 16:00:00,5.0300,11022
2024-11-26 16:00:00,5.0500,34927
2024-11-27 16:00:00,5.0500,8984
2024-11-28 16:00:00,5.0000,25895
2024-11-29 16:00:00,5.0500,9131
2024-12-02 16:00:00,5.1200,6304
2024-12-03 16:00:00,5.3000,28842
2024-12-04 16:00:00,5.0900,21972
2024-12-05 16:00:00,5.4400,12553
2024-12-06 16:00:00,5.2000,17902
2024-12-09 16:00:00,5.6500,86571
2024-12-10 16:00:00,4.9700,54679
2024-12-11 16:00:00,5.0300,70392
2024-12-12 16:00:00,5.0300,32511
2024-12-13 16:00:00,5.3300,14367
2024-12-16 16:00:00,5.0100,123025
2024-12-17 16:00:00,4.7600,45735
2024-12-18 16:00:00,4.7400,137639
2024-12-19 16:00:00,3.8000,1423452
2024-12-20 16:00:00,4.2100,1974967
2024-12-23 16:00:00,4.3400,209554
2024-12-24 16:00:00,4.1300,447843
2024-12-26 16:00:00,4.2400,53121
2024-12-27 16:00:00,4.0900,236318
2024-12-30 16:00:00,4.2000,192201
2024-12-31 16:00:00,4.3300,141546
2025-01-01 16:00:00,4.3800,192647
2025-01-02 16:00:00,4.5000,222896
2025-01-03 16:00:00,4.5400,78625
2025-01-06 16:00:00,5.5400,940566
2025-01-07 16:00:00,5.8200,1295837
2025-01-08 16:00:00,5.3900,225008
2025-01-09 16:00:00,4.9900,283075
2025-01-10 16:00:00,5.3800,292702
2025-01-13 16:00:00,5.4400,23395
2025-01-14 16:00:00,6.3400,2147828
2025-01-15 16:00:00,6.0300,179608
2025-01-16 16:00:00,5.8400,67625
2025-01-17 16:00:00,6.0200,114248
2025-01-20 16:00:00,5.5500,142262
2025-01-21 16:00:00,5.5400,51700
2025-01-22 16:00:00,5.3400,44234
2025-01-23 16:00:00,5.0500,70178
2025-01-24 16:00:00,5.0400,39123
2025-01-27 16:00:00,5.2700,66044
2025-01-28 16:00:00,5.1800,53010
2025-01-29 16:00:00,5.0700,58647
2025-01-30 16:00:00,5.2000,80510
2025-01-31 16:00:00,5.0800,222731
2025-02-03 16:00:00,4.7000,124292
2025-02-04 16:00:00,4.7500,507933
2025-02-06 16:00:00,4.6100,196168
2025-02-07 16:00:00,4.5100,73032
2025-02-10 16:00:00,4.4400,141892
2025-02-11 16:00:00,4.3400,57758
2025-02-12 16:00:00,4.5400,4102
2025-02-13 16:00:00,4.3800,45846
2025-02-14 16:00:00,4.2600,27023
2025-02-17 16:00:00,4.2500,10065
2025-02-18 16:00:00,4.2800,9433
2025-02-19 16:00:00,4.1600,59708
2025-02-20 16:00:00,4.7500,113881
2025-02-21 16:00:00,4.5100,58101
2025-02-24 16:00:00,4.4700,6485
2025-02-25 16:00:00,4.5100,17442
2025-02-26 16:00:00,4.4000,9583
2025-02-27 16:00:00,4.4100,16560
2025-02-28 16:00:00,4.4100,9085
2025-03-03 16:00:00,4.4900,4200
2025-03-04 16:00:00,4.1300,62500
2025-03-05 16:00:00,4.1600,26343
2025-03-06 16:00:00,4.1900,34006
2025-03-07 16:00:00,4.2000,20761
2025-03-10 16:00:00,4.0900,38111
2025-03-11 16:00:00,4.0500,9866
2025-03-12 16:00:00,4.0000,59359
2025-03-13 16:00:00,3.8700,73981
2025-03-14 16:00:00,3.8500,84529
2025-03-17 16:00:00,4.0000,31315
2025-03-18 16:00:00,3.9300,41806
2025-03-19 16:00:00,4.0000,16273
2025-03-20 16:00:00,3.8100,20601
2025-03-21 16:00:00,4.0000,3501
2025-03-24 16:00:00,3.7700,132249
2025-03-25 16:00:00,3.6500,60514
2025-03-26 16:00:00,3.6700,26331
2025-03-27 16:00:00,3.7700,5536
2025-04-03 16:00:00,3.8600,69824
2025-04-04 16:00:00,3.8500,6787
2025-04-07 16:00:00,3.5200,16786
2025-04-08 16:00:00,3.2700,318676
2025-04-09 16:00:00,3.2100,197519
2025-04-10 16:00:00,3.2300,28841
2025-04-11 16:00:00,3.2000,14523
2025-04-14 16:00:00,3.2600,23471
2025-04-15 16:00:00,3.1800,123146
2025-04-16 16:00:00,3.2300,33409
2025-04-17 16:00:00,3.4000,16965
2025-04-18 16:00:00,3.2100,95859
2025-04-21 16:00:00,3.3600,57539
2025-04-22 16:00:00,3.8900,462478
2025-04-23 16:00:00,3.5900,161493
2025-04-24 16:00:00,3.5300,9808
2025-04-25 16:00:00,3.4000,21877
2025-04-28 16:00:00,3.2000,45537
2025-04-29 16:00:00,3.3000,30412
2025-04-30 16:00:00,3.0900,75952
2025-05-02 16:00:00,3.1500,26055
2025-05-05 16:00:00,3.4800,1128061
2025-05-06 16:00:00,3.4100,18070
2025-05-07 16:00:00,3.0400,512337
2025-05-08 16:00:00,2.4100,833380
2025-05-09 16:00:00,2.6000,232734
2025-05-12 16:00:00,3.1500,618218
2025-05-13 16:00:00,3.1000,247633
2025-05-14 16:00:00,3.2400,63547
2025-05-15 16:00:00,3.2500,213420
2025-05-16 16:00:00,3.2200,153345
2025-05-19 16:00:00,3.1100,141430
2025-05-20 16:00:00,3.1300,98080
2025-05-21 16:00:00,3.2400,105282
2025-05-22 16:00:00,3.2300,282320
2025-05-23 16:00:00,3.2500,46498
2025-05-26 16:00:00,3.4000,149780
2025-05-27 16:00:00,3.6200,574146
2025-05-29 16:00:00,3.5400,143171
2025-05-30 16:00:00,4.3400,1788304
2025-06-02 16:00:00,4.4800,2149340
2025-06-03 16:00:00,4.1800,597972
2025-06-04 16:00:00,4.2000,190777
