date,cpi_yoy
2010-01-01,12.9400
2011-01-01,11.9200
2012-01-01,9.6800
2013-01-01,7.6900
2014-01-01,7.1900
2015-01-01,2.5300
2016-01-01,3.7700
2017-01-01,4.0900
2018-01-01,5.0800
2019-01-01,10.5800
2020-01-01,9.7400
2021-01-01,9.5000
2022-01-01,19.8700
2023-01-01,30.7700
2024-01-01,12.6300
2025-01-01,4.4949
2026-01-01,6.0429
