date,close
2010-01-04,9437.8496
2010-01-05,9657.3799
2010-01-06,9727.3604
2010-01-07,9737.4697
2010-01-08,9776.2100
2010-01-11,9797.0000
2010-01-12,9778.3604
2010-01-13,9784.8496
2010-01-14,9802.4502
2010-01-15,9923.1396
2010-01-19,9954.4102
2010-01-20,9904.7402
2010-01-21,9753.8398
2010-01-22,9774.0703
2010-01-25,9689.2002
2010-01-26,9666.4805
2010-01-27,9603.5498
2010-01-28,9579.8096
2010-01-29,9614.1904
2010-02-01,9591.5000
2010-02-02,9595.2402
2010-02-03,9627.6299
2010-02-04,9769.7305
2010-02-08,9809.9805
2010-02-09,9786.4600
2010-02-10,9733.3604
2010-02-11,9802.7998
2010-02-12,9805.8701
2010-02-16,9769.6797
2010-02-17,9867.0898
2010-02-18,9889.2998
2010-02-19,9902.6201
2010-02-22,9953.0703
2010-02-23,9823.5703
2010-02-24,9686.1797
2010-02-25,9667.1699
2010-02-26,9657.7900
2010-03-01,9498.5596
2010-03-02,9546.3799
2010-03-03,9419.4297
2010-03-04,9511.5303
2010-03-05,9626.2900
2010-03-08,9740.1904
2010-03-09,9787.0303
2010-03-10,9784.9805
2010-03-11,9879.7002
2010-03-12,10025.9902
2010-03-15,10088.4502
2010-03-16,10017.7100
2010-03-17,9981.4805
2010-03-18,10007.8701
2010-03-19,10000.9297
2010-03-22,9963.3496
2010-03-24,10146.2695
2010-03-25,10127.0303
2010-03-26,10137.9297
2010-03-29,10056.4600
2010-03-30,10073.7598
2010-03-31,10178.4297
2010-04-01,10246.7695
2010-04-05,10447.8398
2010-04-06,10419.8203
2010-04-07,10523.0098
2010-04-08,10533.5703
2010-04-09,10586.4600
2010-04-12,10557.1904
2010-04-13,10506.2002
2010-04-14,10570.8799
2010-04-15,10677.4697
2010-04-16,10659.2100
2010-04-19,10669.8799
2010-04-20,10641.5195
2010-04-21,10590.2100
2010-04-22,10615.1504
2010-04-23,10607.0303
2010-04-26,10556.3701
2010-04-27,10556.3799
2010-04-28,10519.0195
2010-04-29,10454.6299
2010-04-30,10428.1201
2010-05-03,10389.4600
2010-05-04,10467.7598
2010-05-05,10561.7402
2010-05-06,10553.1201
2010-05-07,10271.4697
2010-05-10,10288.1396
2010-05-11,10208.8096
2010-05-12,10222.0400
2010-05-13,10279.5195
2010-05-14,10271.7100
2010-05-17,10033.7598
2010-05-18,10082.0400
2010-05-19,10050.0400
2010-05-20,9993.4004
2010-05-21,9871.1602
2010-05-24,9687.4102
2010-05-25,9428.4404
2010-05-26,9611.5498
2010-05-27,9439.9697
2010-05-28,9521.1504
2010-06-01,9294.1797
2010-06-02,9499.0596
2010-06-03,9621.2998
2010-06-04,9636.8799
2010-06-07,9791.6396
2010-06-08,9763.1699
2010-06-09,9678.3799
